,,,,,,,,,,,,
"U.S. BILLIONAIRES WEALTH GROWTH, OCTOBER 13, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
First Name,"Net Worth Feb. 8, 2019 
 ($ Millions)","Net Worth Mar. 18, 2020                  ($ Millions)","October 13, 2020 Real Time Worth                            ($ Millions)","Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020                             ($ Millions)","% Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020           ","Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020                        ($ Millions)","% Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020",Source,Industry,State,Gender,Age
TOTAL,"$3,111,000","$2,947,500","$3,878,233","$930,733",31.6%,"$767,233",24.7%,,,,,
Jeff Bezos,"$131,000","$113,000","$203,136","$90,136",79.8%,"$72,136",55.1%,Amazon,Technology,Washington,M,56
Bill Gates,"$96,500","$98,000","$117,976","$19,976",20.4%,"$21,476",22.3%,Microsoft,Technology,Washington,M,64
Mark Zuckerberg,"$62,300","$54,700","$101,230","$46,530",85.1%,"$38,930",62.5%,Facebook,Technology,California,M,36
Elon Musk,"$22,300","$24,600","$92,830","$68,230",277.4%,"$70,530",316.3%,"Tesla, SpaceX",Automotive,California,M,49
Warren Buffett,"$82,500","$67,500","$81,061","$13,561",20.1%,"-$1,439",-1.7%,Berkshire Hathaway,Finance & Investments,Nebraska,M,90
Larry Ellison,"$62,500","$59,000","$80,298","$21,298",36.1%,"$17,798",28.5%,Oracle,Technology,California,M,76
Steve Ballmer,"$41,200","$52,700","$75,039","$22,339",42.4%,"$33,839",82.1%,Microsoft,Technology,Washington,M,64
Larry Page,"$50,800","$50,900","$70,026","$19,126",37.6%,"$19,226",37.8%,Google,Technology,California,M,47
Sergey Brin,"$49,800","$49,100","$68,129","$19,029",38.8%,"$18,329",36.8%,Google,Technology,California,M,47
Alice Walton,"$44,400","$54,400","$67,887","$13,487",24.8%,"$23,487",52.9%,Walmart,Fashion & Retail,Texas,F,70
Jim Walton,"$44,600","$54,600","$67,665","$13,065",23.9%,"$23,065",51.7%,Walmart,Fashion & Retail,Arkansas,M,72
Rob Walton,"$44,300","$54,100","$67,315","$13,215",24.4%,"$23,015",52.0%,Walmart,Fashion & Retail,Arkansas,M,75
MacKenzie Scott,N/A,"$36,000","$65,723","$29,723",82.6%,N/A,N/A,Amazon,Technology,Washington,F,50
Michael Bloomberg,"$55,500","$48,000","$54,890","$6,890",14.4%,-$610,-1.1%,Bloomberg LP,Media & Entertainment,New York,M,78
Daniel Gilbert,"$6,700","$6,500","$49,164","$42,664",656.4%,"$42,464",633.8%,Quicken Loans,Finance & Investments,Michigan,M,58
Phil Knight,"$33,400","$29,500","$49,123","$19,623",66.5%,"$15,723",47.1%,Nike,Fashion & Retail,Oregon,M,82
Charles Koch,"$50,500","$38,200","$44,921","$6,721",17.6%,"-$5,579",-11.0%,Koch Industries,Diversified,Kansas,M,84
Julia/David Koch,"$50,500","$38,200","$44,921","$6,721",17.6%,"-$5,579",-11.0%,Koch Industries,Diversified,New York,F,58
Michael Dell,"$34,300","$22,900","$39,100","$16,200",70.7%,"$4,800",14.0%,Dell computers,Technology,Texas,M,55
Sheldon Adelson,"$35,100","$26,800","$30,304","$3,504",13.1%,"-$4,796",-13.7%,casinos,Gambling & Casinos,Nevada,M,87
Jacqueline Mars,"$23,900","$24,700","$28,896","$4,196",17.0%,"$4,996",20.9%,"candy, pet food",Food & Beverage,Virginia,F,80
John Mars,"$23,900","$24,700","$28,896","$4,196",17.0%,"$4,996",20.9%,"candy, pet food",Food & Beverage,Wyoming,M,84
Len Blavatnik,"$17,700","$17,000","$26,070","$9,070",53.4%,"$8,370",47.3%,diversified,Diversified,,M,63
Jim Simons,"$21,500","$21,600","$23,525","$1,925",8.9%,"$2,025",9.4%,hedge funds,Finance & Investments,New York,M,82
Eric Yuan,N/A,"$5,500","$22,264","$16,764",304.8%,N/A,N/A,video conferencing,Technology,California,M,50
Laurene Powell Jobs,"$18,600","$16,400","$20,512","$4,112",25.1%,"$1,912",10.3%,"Apple, Disney",Technology,California,F,56
Leonard Lauder,"$14,600","$14,600","$19,893","$5,293",36.3%,"$5,293",36.3%,Estee Lauder,Fashion & Retail,New York,M,83
Stephen Schwarzman,"$13,200","$15,400","$19,128","$3,728",24.2%,"$5,928",44.9%,investments,Finance & Investments,New York,M,73
Pierre Omidyar,"$11,400","$11,000","$18,846","$7,846",71.3%,"$7,446",65.3%,"eBay, PayPal",Technology,Hawaii,M,53
Rupert Murdoch,"$19,400","$14,900","$17,922","$3,022",20.3%,"-$1,478",-7.6%,"newspapers, TV network",Media & Entertainment,New York,M,89
Thomas Peterffy,"$17,100","$14,300","$17,894","$3,594",25.1%,$794,4.6%,discount brokerage,Finance & Investments,Florida,M,75
Lukas Walton,"$15,200","$18,400","$16,915","-$1,485",-8.1%,"$1,715",11.3%,Walmart,Fashion & Retail,Wyoming,M,33
Ray Dalio,"$18,400","$18,000","$16,915","-$1,085",-6.0%,"-$1,485",-8.1%,hedge funds,Finance & Investments,Connecticut,M,71
Dustin Moskovitz,"$11,100","$9,300","$16,808","$7,508",80.7%,"$5,708",51.4%,Facebook,Technology,California,M,36
Eric Schmidt,"$12,900","$13,200","$15,586","$2,386",18.1%,"$2,686",20.8%,Google,Technology,California,M,65
Donald Bren,"$16,400","$15,500","$15,300",-$200,-1.3%,"-$1,100",-6.7%,real estate,Real Estate,California,M,88
Donald Newhouse,"$11,800","$10,800","$15,026","$4,226",39.1%,"$3,226",27.3%,media,Media & Entertainment,New York,M,91
Abigail Johnson,"$15,600","$10,800","$14,975","$4,175",38.7%,-$625,-4.0%,money management,Finance & Investments,Massachusetts,F,58
Ken Griffin,"$11,700","$12,100","$14,968","$2,868",23.7%,"$3,268",27.9%,hedge funds,Finance & Investments,Illinois,M,51
Steve Cohen,"$12,900","$13,900","$14,572",$672,4.8%,"$1,672",13.0%,hedge funds,Finance & Investments,Connecticut,M,64
Carl Icahn,"$17,400","$13,800","$14,342",$542,3.9%,"-$3,058",-17.6%,investments,Finance & Investments,New York,M,84
"John Menard, Jr.","$10,500","$11,500","$14,249","$2,749",23.9%,"$3,749",35.7%,home improvement stores,Fashion & Retail,Wisconsin,M,80
"Ernest Garcia, II.","$3,200","$2,400","$13,908","$11,508",479.5%,"$10,708",334.6%,used cars,Automotive,Arizona,M,63
David Duffield,"$11,800","$7,500","$13,546","$6,046",80.6%,"$1,746",14.8%,business software,Technology,Nevada,M,79
Jensen Huang,"$3,800","$4,700","$13,502","$8,802",187.3%,"$9,702",255.3%,semiconductors,Technology,California,M,57
David Tepper,"$11,600","$12,000","$12,986",$986,8.2%,"$1,386",11.9%,hedge funds,Finance & Investments,Florida,M,63
"Thomas Frist, Jr.","$12,400","$7,500","$12,058","$4,558",60.8%,-$342,-2.8%,hospitals,Healthcare,Tennessee,M,82
John Doerr,"$6,900","$7,300","$11,508","$4,208",57.6%,"$4,608",66.8%,venture capital,Technology,California,M,69
Robert Pera,"$6,900","$7,000","$10,966","$3,966",56.7%,"$4,066",58.9%,wireless networking gear,Technology,California,M,42
Gordon Moore,"$9,700","$9,800","$10,886","$1,086",11.1%,"$1,186",12.2%,Intel,Technology,California,M,91
Charles Butt & family,N/A,N/A,"$10,700",N/A,N/A,N/A,N/A,supermarkets,Fashion & Retail,Texas,M,82
Carl Cook,"$8,300","$8,000","$10,532","$2,532",31.6%,"$2,232",26.9%,medical devices,Healthcare,Indiana,M,58
Jack Dorsey,"$5,100","$2,600","$10,357","$7,757",298.3%,"$5,257",103.1%,"Twitter, Square",Technology,California,M,43
Marc Benioff,"$6,600","$5,800","$10,248","$4,448",76.7%,"$3,648",55.3%,business software,Technology,California,M,55
Hank & Doug Meijer,"$6,800","$10,200","$10,192",-$8,-0.1%,"$3,392",49.9%,supermarkets,Fashion & Retail,Michigan,M,
Philip Anschutz,"$10,900","$11,000","$10,129",-$871,-7.9%,-$771,-7.1%,investments,Finance & Investments,Colorado,M,80
Jan Koum,"$9,600","$9,700","$10,096",$396,4.1%,$496,5.2%,WhatsApp,Technology,California,M,44
David Geffen,"$7,800","$7,600","$9,276","$1,676",22.0%,"$1,476",18.9%,"movies, record labels",Media & Entertainment,California,M,77
Ann Walton Kroenke,"$6,500","$7,900","$9,081","$1,181",15.0%,"$2,581",39.7%,Walmart,Fashion & Retail,Texas,F,71
Sun Hongbin,"$9,000","$9,200","$9,055",-$145,-1.6%,$55,0.6%,real estate,Real Estate,,M,57
Steven Rales,"$6,000","$5,800","$8,896","$3,096",53.4%,"$2,896",48.3%,manufacturing,Manufacturing,California,M,69
Jay Chaudhry,N/A,"$2,800","$8,790","$5,990",213.9%,N/A,N/A,security software,Technology,California,M,61
Jerry Jones,"$6,800","$8,000","$8,615",$615,7.7%,"$1,815",26.7%,Dallas Cowboys,Sports,Texas,M,77
George Soros,"$8,300","$8,300","$8,600",$300,3.6%,$300,3.6%,hedge funds,Finance & Investments,New York,M,90
"Herbert Kohler, Jr.","$7,300","$5,900","$8,314","$2,414",40.9%,"$1,014",13.9%,plumbing fixtures,Manufacturing,Wisconsin,M,81
Stanley Kroenke,"$8,700","$10,000","$8,284","-$1,716",-17.2%,-$416,-4.8%,"sports, real estate",Sports,Texas,M,73
Li Ge,"$3,500","$5,000","$8,232","$3,232",64.6%,"$4,732",135.2%,biotech,Healthcare,,M,53
Nancy Walton Laurie,"$5,700","$7,100","$8,190","$1,090",15.4%,"$2,490",43.7%,Walmart,Fashion & Retail,Nevada,F,69
Tom & Judy Love,"$7,000","$6,500","$8,189","$1,689",26.0%,"$1,189",17.0%,retail & gas stations,Fashion & Retail,Oklahoma,,
Blair Parry-Okeden,"$9,300","$7,600","$8,180",$580,7.6%,"-$1,120",-12.0%,"media, automotive",Media & Entertainment,,F,70
Jim Kennedy,"$9,300","$7,600","$8,180",$580,7.6%,"-$1,120",-12.0%,"media, automotive",Media & Entertainment,Georgia,M,72
Lin Bin,"$3,600","$3,500","$8,176","$4,676",133.6%,"$4,576",127.1%,smartphones,Technology,,M,52
Bernard Marcus,"$5,200","$4,600","$7,968","$3,368",73.2%,"$2,768",53.2%,Home Depot,Fashion & Retail,Georgia,M,91
Diane Hendricks,"$6,300","$6,900","$7,957","$1,057",15.3%,"$1,657",26.3%,roofing,Construction & Engineering,Wisconsin,F,73
Charles Ergen,"$9,600","$5,400","$7,925","$2,525",46.8%,"-$1,675",-17.4%,satellite TV,Media & Entertainment,Colorado,M,67
Leon Black,"$6,400","$6,600","$7,915","$1,315",19.9%,"$1,515",23.7%,private equity,Finance & Investments,New York,M,69
Shahid Khan,"$6,800","$7,800","$7,847",$47,0.6%,"$1,047",15.4%,auto parts,Automotive,Florida,M,70
Christy Walton,"$7,200","$8,900","$7,804","-$1,096",-12.3%,$604,8.4%,Walmart,Fashion & Retail,Wyoming,F,71
Andrew Beal,"$9,100","$7,900","$7,629",-$271,-3.4%,"-$1,471",-16.2%,"banks, real estate",Finance & Investments,Texas,M,67
David Green,"$7,000","$6,300","$7,625","$1,325",21.0%,$625,8.9%,retail,Fashion & Retail,Oklahoma,M,78
"Edward Johnson, III.","$7,800","$5,400","$7,358","$1,958",36.3%,-$442,-5.7%,money management,Finance & Investments,Massachusetts,M,90
Charles Schwab,"$8,300","$6,700","$7,311",$611,9.1%,-$989,-11.9%,discount brokerage,Finance & Investments,California,M,83
Marijke Mars,"$6,000","$6,200","$7,224","$1,024",16.5%,"$1,224",20.4%,"candy, pet food",Food & Beverage,California,F,56
Pamela Mars,"$6,000","$6,200","$7,224","$1,024",16.5%,"$1,224",20.4%,"candy, pet food",Food & Beverage,Virginia,F,60
Valerie Mars,"$6,000","$6,200","$7,224","$1,024",16.5%,"$1,224",20.4%,"candy, pet food",Food & Beverage,New York,F,61
Victoria Mars,"$6,000","$6,200","$7,224","$1,024",16.5%,"$1,224",20.4%,"candy, pet food",Food & Beverage,Pennsylvania,F,63
Israel Englander,"$6,400","$6,600","$7,198",$598,9.1%,$798,12.5%,hedge funds,Finance & Investments,New York,M,71
Stephen Ross,"$7,600","$7,600","$7,178",-$422,-5.6%,-$422,-5.6%,real estate,Real Estate,New York,M,80
Stewart and Lynda Resnick,"$5,600","$9,000","$7,100","-$1,900",-21.1%,"$1,500",26.8%,"agriculture, water",Food & Beverage,California,,
Bubba Cathy,"$6,000","$3,400","$7,100","$3,700",108.8%,"$1,100",18.3%,Chick-fil-A,Food & Beverage,Georgia,M,66
Dan Cathy,"$6,000","$3,400","$7,100","$3,700",108.8%,"$1,100",18.3%,Chick-fil-A,Food & Beverage,Georgia,M,67
Jim Davis,"$5,600","$4,700","$6,920","$2,220",47.2%,"$1,320",23.6%,New Balance,Manufacturing,Massachusetts,M,77
"Chase Coleman, III.","$3,100","$4,500","$6,903","$2,403",53.4%,"$3,803",122.7%,hedge fund,Finance & Investments,New York,M,45
Eli Broad,"$6,700","$6,800","$6,880",$80,1.2%,$180,2.7%,investments,Finance & Investments,California,M,87
George Roberts,"$5,500","$5,300","$6,707","$1,407",26.6%,"$1,207",22.0%,private equity,Finance & Investments,California,M,77
Reinhold Schmieding,"$6,000","$5,300","$6,705","$1,405",26.5%,$705,11.7%,medical devices,Healthcare,Florida,M,65
Robert Kraft,"$6,500","$6,900","$6,646",-$254,-3.7%,$146,2.2%,New England Patriots,Sports,Massachusetts,M,79
John Malone,"$7,200","$5,800","$6,592",$792,13.6%,-$608,-8.5%,cable television,Media & Entertainment,Colorado,M,79
James Goodnight,"$8,900","$6,100","$6,542",$442,7.2%,"-$2,358",-26.5%,software,Technology,North Carolina,M,77
John Tu,"$4,700","$4,200","$6,533","$2,333",55.6%,"$1,833",39.0%,computer hardware,Technology,California,M,79
Henry Kravis,"$5,500","$5,200","$6,525","$1,325",25.5%,"$1,025",18.6%,private equity,Finance & Investments,New York,M,76
David Sun,"$4,700","$4,200","$6,503","$2,303",54.8%,"$1,803",38.4%,computer hardware,Technology,California,M,68
David Shaw,"$7,000","$7,300","$6,500",-$800,-11.0%,-$500,-7.1%,hedge funds,Finance & Investments,New York,M,69
David Siegel,"$6,100","$6,100","$6,464",$364,6.0%,$364,6.0%,hedge funds,Finance & Investments,New York,M,59
John Overdeck,"$6,100","$6,100","$6,464",$364,6.0%,$364,6.0%,hedge funds,Finance & Investments,New Jersey,M,50
Arthur Blank,"$4,700","$4,600","$6,322","$1,722",37.4%,"$1,622",34.5%,Home Depot,Sports,Georgia,M,77
Mitchell Rales,"$3,600","$3,700","$6,174","$2,474",66.9%,"$2,574",71.5%,"manufacturing, investments",Manufacturing,Maryland,M,64
Dennis Washington,"$5,900","$5,500","$6,148",$648,11.8%,$248,4.2%,"construction, mining",Logistics,Montana,M,86
Ernest Garcia III,N/A,N/A,"$6,147",N/A,N/A,N/A,N/A,used cars,Automotive,Arizona,M,38
Ronda Stryker,"$5,800","$4,300","$6,095","$1,795",41.7%,$295,5.1%,medical equipment,Healthcare,Michigan,F,66
Patrick Soon-Shiong,"$7,000","$6,400","$6,073",-$327,-5.1%,-$927,-13.2%,pharmaceuticals,Healthcare,California,M,68
Fred Smith,"$4,100","$2,700","$6,039","$3,339",123.7%,"$1,939",47.3%,FedEx,Logistics,Tennessee,M,76
John A. Sobrato,"$6,500","$4,300","$6,000","$1,700",39.5%,-$500,-7.7%,real estate,Real Estate,California,M,81
Ronald Perelman,"$9,400","$6,900","$5,957",-$943,-13.7%,"-$3,443",-36.6%,leveraged buyouts,Finance & Investments,New York,M,77
Richard Kinder,"$6,600","$5,200","$5,852",$652,12.5%,-$748,-11.3%,pipelines,Energy,Texas,M,75
"Paul Tudor Jones, II.","$5,100","$5,100","$5,781",$681,13.4%,$681,13.4%,hedge funds,Finance & Investments,Florida,M,65
Jeff Skoll,"$4,700","$4,600","$5,760","$1,160",25.2%,"$1,060",22.5%,eBay,Technology,California,M,55
George Lucas,"$5,400","$4,600","$5,735","$1,135",24.7%,$335,6.2%,Star Wars,Media & Entertainment,California,M,76
Peter Gassner,"$1,700","$2,500","$5,732","$3,232",129.3%,"$4,032",237.2%,software,Technology,California,M,55
Tom Gores,"$4,000","$5,700","$5,722",$22,0.4%,"$1,722",43.1%,private equity,Finance & Investments,California,M,56
Bobby Murphy,"$2,100","$1,900","$5,710","$3,810",200.5%,"$3,610",171.9%,Snapchat,Technology,California,M,32
Ralph Lauren,"$6,900","$5,700","$5,649",-$51,-0.9%,"-$1,251",-18.1%,apparel,Fashion & Retail,New York,M,80
Jack Dangermond,"$4,000","$4,000","$5,629","$1,629",40.7%,"$1,629",40.7%,mapping software,Technology,California,M,75
Gary Rollins,"$4,300","$3,600","$5,567","$1,967",54.6%,"$1,267",29.5%,pest control,Service,Georgia,M,76
Micky Arison,"$8,900","$5,100","$5,558",$458,9.0%,"-$3,342",-37.6%,Carnival Cruises,Service,Florida,M,71
Reed Hastings,"$4,000","$3,700","$5,537","$1,837",49.7%,"$1,537",38.4%,Netflix,Media & Entertainment,California,M,59
"Edward Roski, Jr.","$5,400","$3,100","$5,480","$2,380",76.8%,$80,1.5%,real estate,Real Estate,California,M,81
Rocco Commisso,"$4,500","$4,500","$5,462",$962,21.4%,$962,21.4%,telecom,Telecom,New Jersey,M,70
Judy Faulkner,"$3,600","$2,500","$5,457","$2,957",118.3%,"$1,857",51.6%,health IT,Technology,Wisconsin,F,77
J. Christopher Reyes,"$4,900","$6,800","$5,440","-$1,360",-20.0%,$540,11.0%,food distribution,Food & Beverage,Florida,M,66
Jude Reyes,"$4,900","$6,800","$5,440","-$1,360",-20.0%,$540,11.0%,food distribution,Food & Beverage,Florida,M,64
Tamara Gustavson,"$4,600","$4,500","$5,439",$939,20.9%,$839,18.2%,self storage,Service,Kentucky,F,58
Evan Spiegel,"$2,100","$1,900","$5,430","$3,530",185.8%,"$3,330",158.6%,Snapchat,Technology,California,M,30
Harry Stine,"$3,900","$3,800","$5,420","$1,620",42.6%,"$1,520",39.0%,agriculture,Food & Beverage,Iowa,M,78
Henry Samueli,"$4,300","$3,500","$5,371","$1,871",53.4%,"$1,071",24.9%,semiconductors,Technology,California,M,65
Tim Sweeney,"$2,000","$4,500","$5,322",$822,18.3%,"$3,322",166.1%,video games,Media & Entertainment,North Carolina,M,49
Bruce Kovner,"$5,200","$5,300","$5,319",$19,0.4%,$119,2.3%,hedge funds,Finance & Investments,New York,M,75
Alan Trefler,"$2,300","$2,500","$5,311","$2,811",112.5%,"$3,011",130.9%,software,Technology,Massachusetts,M,64
Meg Whitman,"$3,400","$3,300","$5,300","$2,000",60.6%,"$1,900",55.9%,eBay,Technology,California,F,64
James Chambers,"$6,200","$5,100","$5,238",$138,2.7%,-$962,-15.5%,"media, automotive",Media & Entertainment,New York,M,63
Katharine Rayner,"$6,200","$5,100","$5,238",$138,2.7%,-$962,-15.5%,"media, automotive",Media & Entertainment,New York,F,75
Margaretta Taylor,"$6,200","$5,100","$5,238",$138,2.7%,-$962,-15.5%,"media, automotive",Media & Entertainment,New York,F,78
Robert F. Smith,"$5,000","$5,000","$5,220",$220,4.4%,$220,4.4%,private equity,Finance & Investments,Texas,M,57
Anthony Wood,"$1,100","$1,600","$5,146","$3,546",221.6%,"$4,046",367.8%,Roku,Technology,California,M,54
Terrence Pegula,"$4,500","$5,000","$5,090",$90,1.8%,$590,13.1%,natural gas,Energy,Florida,M,69
Les Wexner,"$4,600","$4,000","$5,037","$1,037",25.9%,$437,9.5%,retail,Fashion & Retail,Ohio,M,83
Daniel Ziff,"$4,800","$5,000","$5,000",$0,0.0%,$200,4.2%,investments,Finance & Investments,New York,M,48
Dirk Ziff,"$4,800","$5,000","$5,000",$0,0.0%,$200,4.2%,investments,Finance & Investments,Florida,M,56
Robert Ziff,"$4,800","$5,000","$5,000",$0,0.0%,$200,4.2%,investments,Finance & Investments,New York,M,54
"Walter Scott, Jr.","$4,500","$4,400","$4,965",$565,12.9%,$465,10.3%,"utilities, telecom",Energy,Nebraska,M,89
Douglas Leone,"$3,700","$3,500","$4,961","$1,461",41.8%,"$1,261",34.1%,venture capital,Finance & Investments,California,M,63
Richard Schulze,"$3,700","$3,400","$4,944","$1,544",45.4%,"$1,244",33.6%,Best Buy,Fashion & Retail,Florida,M,79
Ronald Lauder,"$3,900","$4,000","$4,938",$938,23.5%,"$1,038",26.6%,Estee Lauder,Fashion & Retail,New York,M,76
George Kaiser,"$7,600","$5,600","$4,929",-$671,-12.0%,"-$2,671",-35.1%,"oil & gas, banking",Energy,Oklahoma,M,78
Pauline MacMillan Keinath,"$6,900","$4,800","$4,891",$91,1.9%,"-$2,009",-29.1%,Cargill,Food & Beverage,Missouri,F,86
Ken Langone,"$3,400","$3,200","$4,840","$1,640",51.2%,"$1,440",42.3%,investments,Finance & Investments,New York,M,84
